id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,52755.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0,48854.0
3,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,106820.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0,101254.0
4,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,70794.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0,71637.0
5,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,45622.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0,47026.0
6,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,74776.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0,64957.0
7,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,41222.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0,38709.0
9,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3215.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0,3251.0
11,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1143.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0
12,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2593.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0,2601.0
13,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,61972.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0,62546.0
14,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,19430.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0,20824.0
15,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21304.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0,21396.0
16,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,35561.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0,34892.0
17,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,37283.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0,38642.0
18,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,59152.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0,55329.0
19,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38233.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0,38302.0
20,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,48310.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0,53154.0
21,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,50027.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0,48878.0
22,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39731.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0,39950.0
23,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,24358.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0,23727.0
24,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,103345.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0,101210.0
25,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,72486.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0,71385.0
26,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129264.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0,129254.0
27,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,22296.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0,21461.0
28,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,28375.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0,27000.0
29,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40871.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0,40088.0
30,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,27303.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0,26241.0
