Name,TrialNumber,TestType,GivenValue,ActualValue,ReportedValue,Old,New,,,,,,,,
Kyle,11,Length,66,82,75,0.588918816,0.979751119,,,,,,,,
Kyle,12,Area,14,15,14,0,0.974523046,,,,,,,,
Kyle,13,Area,13,62,26,0.443703638,0.789433111,,,,,,,,
Kyle,14,Velocity,83,58,41.5,1.934017376,0.917558359,,,,,,,,
Kyle,15,Brightness,37,76,70,0.885751131,0.981010584,,,,,,,,
Kyle,16,Brightness,99,7,1,1.734524771,0,,,,,,,,
Kyle,17,Length,49,72,60,0.526247794,0.957368298,,,,,,,,
Kyle,18,Velocity,46,87,92,1.087687708,1.012512675,,,,,,,,
Kyle,19,Velocity,78,55,60,0.750951793,1.021713038,,,,,,,,
Kyle,20,Area,46,96,50,0.11333538,0.85708251,,,,,,,,
Kyle,21,Brightness,46,45,46,0,1.0057738,,,,,,,,
Kyle,22,Area,10,41,20,0.491249879,0.8066983,,,,,,,,
Kyle,23,Area,50,50,50,0,1,,,,,,,,
Kyle,24,Length,39,37,37,1,1,,,,,,,,
Kyle,25,Area,58,27,30,0.862202892,1.031967758,,,,,,,,
Kyle,26,Length,97,51,50,1.030802736,0.994963503,,,,,,,,
Kyle,27,Velocity,92,14,20,0.81055451,1.135152405,,,,,,,,
Kyle,28,Length,64,87,75,0.516586636,0.966765997,,,,,,,,
Kyle,29,Length,95,51,50,1.031834398,0.994963503,,,,,,,,
Kyle,30,Length,78,3,2,1.124448464,0.630929754,,,,,,,,
Kyle,31,Brightness,96,19,4,1.96187157,0.470817827,,,,,,,,
Kyle,32,Area,72,48,66,0.21459646,1.082262257,,,,,,,,
Kyle,33,Velocity,34,36,35,0.507143829,0.992138767,,,,,,,,
Kyle,34,Velocity,53,41,50,0.226974692,1.053439367,,,,,,,,
Kyle,35,Brightness,12,69,80,1.084564454,1.034935382,,,,,,,,
Kyle,36,Velocity,63,91,85,0.814512772,0.984879101,,,,,,,,
Kyle,37,Brightness,57,34,43,0.545492939,1.066595457,,,,,,,,
Kyle,38,Brightness,21,81,80,0.990797634,0.997173134,,,,,,,,
Kyle,39,Brightness,12,80,90,1.06208518,1.026878667,,,,,,,,
Kyle,40,Velocity,30,90,80,0.892789261,0.973824885,,,,,,,,
KL,1,Brightness,36,14,10,1.356258246,0.87250287,,,,,,,,
KL,2,Brightness,40,71,50,0.388887046,0.91773793,,,,,,,,
KL,3,Length,21,19,23,-0.908959178,1.064886805,,,,,,,,
KL,4,Brightness,31,76,55,0.639362644,0.92532439,,,,,,,,
KL,5,Length,91,53,60,0.770514085,1.031245221,,,,,,,,
KL,6,Velocity,20,39,40,1.037910594,1.006910709,,,,,,,,
KL,7,Length,39,84,60,0.561459789,0.924060901,,,,,,,,
KL,8,Velocity,94,92,96,-0.978945796,1.009412119,,,,,,,,
KL,9,Brightness,95,97,95,0,0.995445814,,,,,,,,
KL,10,Area,10,49,25,0.576560807,0.827087475,,,,,,,,
KL,11,Area,7,14,13,0.893084796,0.971918771,,,,,,,,
KL,12,Area,10,8,12,-0.817059493,1.1949875,,,,,,,,
KL,13,Area,44,4,12,0.54184309,1.79248125,,,,,,,,
KL,14,Velocity,23,75,46,0.586421962,0.886775203,,,,,,,,
KL,15,Area,98,12,46,0.360144845,1.540758643,,,,,,,,
KL,16,Area,1,32,20,0.864385619,0.864385619,,,,,,,,
KL,17,Brightness,71,66,70,0.194243187,1.014044236,,,,,,,,
KL,18,Length,91,10,30,0.502501916,1.477121255,,,,,,,,
KL,19,Brightness,77,50,70,0.220736594,1.08600978,,,,,,,,
KL,20,Length,14,80,40,0.602318194,0.841820409,,,,,,,,
KL,21,Area,7,72,28,0.594783143,0.779159377,,,,,,,,
KL,22,Length,51,10,23,0.488774615,1.361727836,,,,,,,,
KL,23,Length,30,8,17,0.429719333,1.362487614,,,,,,,,
KL,24,Brightness,72,24,50,0.331912466,1.230949258,,,,,,,,
KL,25,Velocity,88,56,60,0.84735588,1.017139588,,,,,,,,
KL,26,Area,76,56,60,0.774076564,1.017139588,,,,,,,,
KL,27,Velocity,50,83,70,0.663892168,0.961450213,,,,,,,,
KL,28,Brightness,93,31,71,0.245691423,1.241320839,,,,,,,,
KL,29,Length,40,82,60,0.564840668,0.929114004,,,,,,,,
KL,30,Area,86,2,50,0.144189161,5.64385619,,,,,,,,
KL,31,Area,10,14,12,0.541862112,0.941588734,,,,,,,,
KL,32,Length,47,27,40,0.290934556,1.11925426,,,,,,,,
KL,33,Brightness,74,59,72,0.120952009,1.048835523,,,,,,,,
KL,34,Length,25,94,75,0.829505107,0.950298918,,,,,,,,
KL,35,Velocity,22,40,30,0.518795136,0.922013697,,,,,,,,
KL,36,Brightness,92,76,94,-0.112565379,1.04908209,,,,,,,,
KL,37,Velocity,72,68,70,0.492856171,1.006869886,,,,,,,,
KL,38,Velocity,100,76,80,0.813096182,1.01184402,,,,,,,,
KL,39,Velocity,67,85,70,0.184076624,0.956297264,,,,,,,,
KL,40,Velocity,39,94,50,0.282428101,0.861054189,,,,,,,,
JD,1,Length,27,4,8,0.637008771,1.5,,,,,,,,
JD,2,Brightness,56,82,24,-2.221735556,0.721183641,,,,,,,,
JD,3,Brightness,59,53,69,-1.459912224,1.066447152,,,,,,,,
JD,4,Length,31,63,58,0.883392787,0.980041268,,,,,,,,
JD,5,Velocity,30,30,32,0,1.018975235,,,,,,,,
JD,6,Velocity,78,42,54,0.594025023,1.067238267,,,,,,,,
JD,7,Area,2,16,8,0.666666667,0.75,,,,,,,,
JD,8,Velocity,68,56,47,1.902388162,0.956474837,,,,,,,,
JD,9,Brightness,67,62,72,-0.927993014,1.03623137,,,,,,,,
JD,10,Brightness,51,73,35,-1.049754826,0.828663715,,,,,,,,
JD,11,Brightness,49,48,51,-1.940189989,1.015660417,,,,,,,,
JD,12,Area,12,3,3,1,1,,,,,,,,
JD,13,Velocity,23,73,53,0.722790331,0.925376867,,,,,,,,
JD,14,Brightness,50,81,19,-2.005662479,0.670035965,,,,,,,,
JD,15,Area,6,20,17,0.865014451,0.945749849,,,,,,,,
JD,16,Area,20,83,68,0.859931322,0.954890226,,,,,,,,
JD,17,Length,8,49,32,0.764903228,0.890517968,,,,,,,,
JD,18,Area,10,7,7,1,1,,,,,,,,
JD,19,Velocity,88,59,56,1.130529853,0.98720165,,,,,,,,
JD,20,Brightness,91,20,173,-0.424011973,1.720210995,,,,,,,,
JD,21,Velocity,27,49,38,0.573420795,0.934674749,,,,,,,,
JD,22,Velocity,99,81,58,2.664449029,0.923993626,,,,,,,,
JD,23,Velocity,4,65,16,0.497219571,0.664190585,,,,,,,,
JD,24,Velocity,78,65,62,1.259173329,0.988680282,,,,,,,,
JD,25,Area,72,3,5,0.839264641,1.464973521,,,,,,,,
JD,26,Velocity,8,83,29,0.550506456,0.762031521,,,,,,,,
JD,27,Area,50,4,15,0.476683355,1.953445298,,,,,,,,
JD,28,Brightness,52,23,74,-0.432511909,1.372691128,,,,,,,,
JD,29,Length,68,23,27,0.852084267,1.051137919,,,,,,,,
JD,30,Brightness,10,38,2,-1.205570507,0.190551412,,,,,,,,
JD,31,Area,6,14,12,0.818067899,0.941588734,,,,,,,,
JD,32,Length,44,51,49,0.729027236,0.989825252,,,,,,,,
JD,33,Area,7,6,6,1,1,,,,,,,,
JD,34,Length,20,62,55,0.894112625,0.970972305,,,,,,,,
JD,35,Length,32,17,19,0.824155465,1.039257769,,,,,,,,
JD,36,Brightness,11,79,1,-1.216247184,0,,,,,,,,
JD,37,Area,12,22,17,0.574634747,0.916588299,,,,,,,,
JD,38,Length,64,49,51,0.850202511,1.010279338,,,,,,,,
JD,39,Length,58,73,67,0.627127412,0.980009875,,,,,,,,
JD,40,Length,79,18,18,1,1,,,,,,,,
MC,1,Length,70,87,80,0.614183459,0.981217374,,,,,,,,
MC,2,Velocity,32,98,60,0.561643071,0.892993152,,,,,,,,
MC,3,Length,54,58,55,0.256778683,0.986920189,,,,,,,,
MC,4,Area,77,3,7,0.7389068,1.771243749,,,,,,,,
MC,5,Area,79,2,5,0.750757402,2.321928095,,,,,,,,
MC,6,Velocity,77,29,35,0.807424082,1.055846662,,,,,,,,
MC,7,Area,4,1,2,0.5,1,,,,,,,,
MC,8,Area,4,11,8,0.685198256,0.867194479,,,,,,,,
MC,9,Brightness,76,22,50,0.337753822,1.265599895,,,,,,,,
MC,10,Velocity,10,99,40,0.604699386,0.802781989,,,,,,,,
MC,11,Length,39,8,13,0.693515779,1.233479906,,,,,,,,
MC,12,Velocity,77,12,10,1.098080412,0.926628408,,,,,,,,
MC,13,Velocity,20,84,60,0.765538384,0.924060901,,,,,,,,
MC,14,Length,14,87,60,0.796609795,0.9168,,,,,,,,
MC,15,Area,9,36,30,0.868482797,0.949122201,,,,,,,,
MC,16,Length,51,32,40,0.521243364,1.064385619,,,,,,,,
MC,17,Area,18,20,20,1,1,,,,,,,,
MC,18,Area,38,32,35,0.478545099,1.025856603,,,,,,,,
MC,19,Length,54,72,60,0.366239421,0.957368298,,,,,,,,
MC,20,Length,76,26,40,0.598388835,1.132219199,,,,,,,,
MC,21,Length,16,1,4,0.5,2,,,,,,,,
MC,22,Area,21,19,20,0.487494786,1.017420396,,,,,,,,
MC,23,Length,19,74,80,1.057340427,1.018113467,,,,,,,,
MC,24,Length,16,1,5,0.419517976,2.321928095,,,,,,,,
MC,25,Brightness,35,76,70,0.893939051,0.981010584,,,,,,,,
MC,26,Area,4,9,8,0.854755646,0.94639463,,,,,,,,
MC,27,Area,92,14,20,0.81055451,1.135152405,,,,,,,,
MC,28,Brightness,18,30,30,1,1,,,,,,,,
MC,29,Brightness,97,94,97,0,1.006914849,,,,,,,,
MC,30,Brightness,82,61,75,0.301614082,1.050260421,,,,,,,,
MC,31,Velocity,22,76,60,0.809316354,0.945415993,,,,,,,,
MC,32,Brightness,5,68,60,0.952046055,0.970337027,,,,,,,,
MC,33,Brightness,47,86,55,0.26015502,0.899645429,,,,,,,,
MC,34,Velocity,72,60,70,0.154512047,1.03764966,,,,,,,,
MC,35,Brightness,63,72,68,0.571947744,0.98663482,,,,,,,,
MC,36,Brightness,72,15,20,0.81660133,1.106232179,,,,,,,,
MC,37,Brightness,93,46,80,0.213894633,1.144538279,,,,,,,,
MC,38,Velocity,68,34,50,0.443606651,1.109365585,,,,,,,,
MC,39,Velocity,6,34,10,0.294491706,0.652963608,,,,,,,,
MC,40,Velocity,17,97,80,0.889357103,0.957880543,,,,,,,,
PM,1,Area,2,66,60,0.97274132,0.977251066,,,,,,,,
PM,2,Length,14,15,15,1,1,,,,,,,,
PM,3,Area,5,27,20,0.82204413,0.908944343,,,,,,,,
PM,4,Brightness,66,18,20,0.918908724,1.036452237,,,,,,,,
PM,5,Area,37,3,5,0.796670589,1.464973521,,,,,,,,
PM,6,Brightness,20,17,18,0.648296884,1.020174412,,,,,,,,
PM,7,Area,1,72,50,0.914736595,0.914736595,,,,,,,,
PM,8,Brightness,23,39,40,1.047944271,1.006910709,,,,,,,,
PM,9,Area,28,64,35,0.269927828,0.854880503,,,,,,,,
PM,10,Brightness,22,90,80,0.916392833,0.973824885,,,,,,,,
PM,11,Length,79,46,52,0.773297229,1.032022409,,,,,,,,
PM,12,Brightness,26,19,20,0.836467214,1.017420396,,,,,,,,
PM,13,Velocity,23,69,40,0.503712951,0.871229727,,,,,,,,
PM,14,Brightness,20,34,50,1.72680352,1.109365585,,,,,,,,
PM,15,Length,8,7,8,0,1.068621561,,,,,,,,
PM,16,Velocity,27,99,90,0.926644018,0.979258391,,,,,,,,
PM,17,Area,1,44,16,0.732677004,0.732677004,,,,,,,,
PM,18,Brightness,46,16,20,0.788700359,1.080482024,,,,,,,,
PM,19,Area,86,67,80,0.289682783,1.042175263,,,,,,,,
PM,20,Velocity,41,48,45,0.590566812,0.983328553,,,,,,,,
PM,21,Brightness,68,49,65,0.137693528,1.072605349,,,,,,,,
PM,22,Brightness,79,93,83,0.302741395,0.974902065,,,,,,,,
PM,23,Area,9,4,5,0.724830143,1.160964047,,,,,,,,
PM,24,Length,74,95,85,0.554762282,0.975575617,,,,,,,,
PM,25,Length,6,63,40,0.80681294,0.890359522,,,,,,,,
PM,26,Length,91,2,2,1,1,,,,,,,,
PM,27,Area,4,12,8,0.630929754,0.836828837,,,,,,,,
PM,28,Area,34,26,28,0.723749829,1.022745788,,,,,,,,
PM,29,Length,4,12,8,0.630929754,0.836828837,,,,,,,,
PM,30,Brightness,59,31,45,0.420907239,1.108525531,,,,,,,,
PM,31,Length,45,13,18,0.737924653,1.126872836,,,,,,,,
PM,32,Length,10,43,30,0.753188656,0.904285142,,,,,,,,
PM,33,Length,18,18,18,0,1,,,,,,,,
PM,34,Velocity,21,39,25,0.281651606,0.878619261,,,,,,,,
PM,35,Velocity,45,28,40,0.24824756,1.107038732,,,,,,,,
PM,36,Velocity,34,50,38,0.288401493,0.929847845,,,,,,,,
PM,37,Velocity,95,74,80,0.687918897,1.018113467,,,,,,,,
PM,38,Velocity,38,49,40,0.201756124,0.947854518,,,,,,,,
PM,39,Velocity,88,94,90,0.340714801,0.990428728,,,,,,,,
PM,40,Velocity,85,36,60,0.405416822,1.142548604,,,,,,,,
IE,1,Area,83,90,83,0,0.982006114,,,,,,,,
IE,2,Area,12,76,50,0.77315837,0.903316528,,,,,,,,
IE,3,Length,68,81,70,0.165698506,0.966786756,,,,,,,,
IE,4,Velocity,41,61,43,0.119878765,0.914939315,,,,,,,,
IE,5,Brightness,64,39,50,0.498383594,1.06781962,,,,,,,,
IE,6,Length,37,80,72,0.863364902,0.975956213,,,,,,,,
IE,7,Brightness,34,64,50,0.609721306,0.940642698,,,,,,,,
IE,8,Length,53,64,55,0.196410424,0.963559952,,,,,,,,
IE,9,Velocity,79,29,30,0.966171249,1.010067886,,,,,,,,
IE,10,Area,53,61,55,0.263485259,0.974812976,,,,,,,,
IE,11,Velocity,83,75,80,0.363227105,1.014948164,,,,,,,,
IE,12,Velocity,36,13,30,0.178997646,1.326029059,,,,,,,,
IE,13,Area,1,3,4,1.261859507,1.261859507,,,,,,,,
IE,14,Length,68,56,65,0.232392674,1.037024238,,,,,,,,
IE,15,Velocity,27,55,35,0.364740039,0.887210496,,,,,,,,
IE,16,Area,18,2,3,0.815464877,1.584962501,,,,,,,,
IE,17,Velocity,34,72,60,0.757003602,0.957368298,,,,,,,,
IE,18,Velocity,98,92,95,0.49210395,1.007096377,,,,,,,,
IE,19,Length,92,39,40,0.970499868,1.006910709,,,,,,,,
IE,20,Velocity,23,1,20,0.044574135,4.321928095,,,,,,,,
IE,21,Length,49,69,55,0.337474561,0.946441281,,,,,,,,
IE,22,Brightness,67,83,70,0.204543704,0.961450213,,,,,,,,
IE,23,Brightness,72,41,65,0.181637239,1.124089474,,,,,,,,
IE,24,Area,40,31,35,0.523873883,1.035341092,,,,,,,,
IE,25,Area,23,29,30,1.14625244,1.010067886,,,,,,,,
IE,26,Velocity,68,32,50,0.407928101,1.128771238,,,,,,,,
IE,27,Brightness,94,76,90,0.20457667,1.039041039,,,,,,,,
IE,28,Velocity,15,1,10,0.149725846,3.321928095,,,,,,,,
IE,29,Length,54,78,70,0.705721261,0.975161621,,,,,,,,
IE,30,Area,25,16,20,0.5,1.080482024,,,,,,,,
IE,31,Area,50,44,50,0,1.033780911,,,,,,,,
IE,32,Brightness,32,21,30,0.153220461,1.117153002,,,,,,,,
IE,33,Area,72,16,20,0.851640912,1.080482024,,,,,,,,
IE,34,Length,30,42,40,0.854994978,0.986946368,,,,,,,,
IE,35,Brightness,38,26,30,0.622912366,1.043921609,,,,,,,,
